epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,31.259836,4.36932666e-01,3.29434591e-01,2.77102908e-01,3.00624041e-01,1.31348478e+00,3.28141769e-01,8.19012309e-01,1.39371157e-01,1.00000000e-03
1,30.565120,2.15017771e-01,1.65014392e-01,1.63373809e-01,1.73281545e-01,8.83556873e-01,1.26322815e-01,6.97598523e-01,8.47474132e-02,1.00000000e-03
2,30.579269,1.98636211e-01,1.52448708e-01,1.64911480e-01,1.74985119e-01,7.18285807e-01,8.81130388e-02,5.61619078e-01,6.60009266e-02,1.00000000e-03
3,30.532843,2.00704147e-01,1.53271853e-01,1.48113662e-01,1.55590200e-01,5.90081571e-01,6.98760124e-02,4.64628313e-01,5.37657215e-02,1.00000000e-03
4,30.706827,1.91614598e-01,1.46177292e-01,1.42206008e-01,1.50001527e-01,5.14247759e-01,5.74721395e-02,4.23611208e-01,4.52680784e-02,1.00000000e-03
5,33.225209,1.86829097e-01,1.41767212e-01,2.32051684e-01,2.42629956e-01,4.56421108e-01,4.97545567e-02,3.65883684e-01,3.99062628e-02,1.00000000e-03
6,30.615780,1.71786053e-01,1.30282578e-01,1.89771642e-01,2.04005383e-01,4.24081864e-01,4.47828964e-02,3.52235286e-01,3.72462866e-02,1.00000000e-03
7,30.540523,1.65407724e-01,1.25851074e-01,1.27647324e-01,1.37014602e-01,3.95567291e-01,4.13693592e-02,3.28014573e-01,3.32092329e-02,1.00000000e-03
8,30.838295,1.75673999e-01,1.33869538e-01,3.08445324e-01,3.26802387e-01,3.61727401e-01,3.85864659e-02,3.08443529e-01,3.14852192e-02,1.00000000e-03
9,29.784884,1.64554794e-01,1.24991924e-01,1.45529263e-01,1.54227500e-01,3.48093489e-01,3.63935126e-02,2.98902520e-01,3.06173946e-02,1.00000000e-03
10,29.030164,1.64094263e-01,1.24953392e-01,2.22685338e-01,2.35658444e-01,3.38339565e-01,3.51130626e-02,3.45136086e-01,2.94805511e-02,1.00000000e-03
11,28.988666,1.62673692e-01,1.23172419e-01,1.75062497e-01,1.81929806e-01,3.24857666e-01,3.38723809e-02,2.81589861e-01,2.81023992e-02,1.00000000e-03
12,28.994755,1.64981620e-01,1.25058388e-01,1.39849669e-01,1.46632427e-01,3.07488668e-01,3.22805667e-02,2.44863837e-01,2.62093517e-02,1.00000000e-03
13,30.666964,1.59297310e-01,1.21527513e-01,1.57165486e-01,1.64273576e-01,3.00859308e-01,3.15984687e-02,2.68605837e-01,2.58964335e-02,1.00000000e-03
14,29.946591,1.67323863e-01,1.27406921e-01,2.40192817e-01,2.51374073e-01,3.03362724e-01,3.10725143e-02,3.21359483e-01,2.64879560e-02,1.00000000e-03
15,30.623603,1.53011011e-01,1.17068439e-01,1.42204152e-01,1.53279982e-01,2.94570734e-01,3.04242796e-02,2.51001118e-01,2.54970552e-02,1.00000000e-03
16,29.496784,1.50900873e-01,1.15346457e-01,1.95623010e-01,2.04111527e-01,2.86039834e-01,3.00823530e-02,2.42101501e-01,2.46838540e-02,1.00000000e-03
17,28.901341,1.52578749e-01,1.16331278e-01,1.11961189e-01,1.18783739e-01,2.79632353e-01,2.94304542e-02,2.36759875e-01,2.47173966e-02,1.00000000e-03
18,29.283333,1.50837805e-01,1.14792889e-01,1.22735409e-01,1.28036467e-01,2.75267642e-01,2.95350566e-02,3.00924919e-01,2.42158457e-02,1.00000000e-03
19,30.022405,1.48380465e-01,1.12936772e-01,1.75072163e-01,1.85030636e-01,2.64519960e-01,2.85891335e-02,2.62450605e-01,2.32014888e-02,1.00000000e-03
20,30.471181,1.46360495e-01,1.11924573e-01,1.16800625e-01,1.22987068e-01,2.59200252e-01,2.79815206e-02,2.44692180e-01,2.27924438e-02,1.00000000e-03
21,28.951405,1.48432905e-01,1.13028028e-01,1.25316746e-01,1.34637161e-01,2.54496946e-01,2.78168077e-02,2.15366578e-01,2.20266512e-02,1.00000000e-03
