epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
35,17.215426,1.45424745e-02,1.52148896e-02,1.43132148e-02,1.49416738e-02,1.88284799e-03,2.41581155e-04,1.78630365e-03,2.44909608e-04,1.00000000e-03
36,17.438662,1.79211663e-02,1.89780238e-02,2.05544103e-02,2.24736525e-02,2.96255822e-03,2.29231259e-04,4.11567757e-03,2.31400102e-04,1.00000000e-03
37,17.579321,1.72024032e-02,1.81399905e-02,1.71618648e-02,1.80726969e-02,2.67432711e-03,2.17313704e-04,2.67217487e-03,2.27366720e-04,1.00000000e-03
38,18.183950,1.98723345e-02,2.11442263e-02,2.45346772e-02,2.60053443e-02,3.95919046e-03,2.05896467e-04,5.39996992e-03,2.06974234e-04,1.00000000e-03
39,18.275137,1.54854110e-02,1.61362245e-02,1.09660876e-02,1.10974186e-02,2.19518852e-03,1.94487893e-04,1.05118700e-03,1.92808699e-04,1.00000000e-03
40,18.134214,1.22618386e-02,1.27071490e-02,1.33759118e-02,1.39099178e-02,1.33229571e-03,1.80607555e-04,1.58897860e-03,1.82124013e-04,1.00000000e-03
41,17.195336,1.58216177e-02,1.67315388e-02,1.63495603e-02,1.75894591e-02,2.30527095e-03,1.69678204e-04,2.48013024e-03,1.67866879e-04,1.00000000e-03
42,17.910648,1.68897850e-02,1.78750754e-02,1.34030388e-02,1.37008502e-02,2.61996937e-03,1.61189270e-04,1.52266509e-03,1.60892413e-04,1.00000000e-03
43,18.332096,1.67734924e-02,1.77157057e-02,1.54169079e-02,1.61662447e-02,2.64964291e-03,1.52187026e-04,2.08678867e-03,1.48828369e-04,1.00000000e-03
44,17.590718,1.36507403e-02,1.42766883e-02,1.23118651e-02,1.27028264e-02,1.66470891e-03,1.42487657e-04,1.33325679e-03,1.42818633e-04,1.00000000e-03
45,17.224672,1.33579369e-02,1.39625748e-02,1.89434425e-02,2.05741199e-02,1.57542829e-03,1.33816409e-04,3.37716959e-03,1.46641355e-04,1.00000000e-03
46,17.240255,1.61701189e-02,1.71183884e-02,1.34823726e-02,1.41059456e-02,2.44243273e-03,1.27405410e-04,1.58514775e-03,1.27745683e-04,1.00000000e-03
47,17.833508,1.56959613e-02,1.65866190e-02,1.53432424e-02,1.62186436e-02,2.22699529e-03,1.20724654e-04,2.18440932e-03,1.21120044e-04,1.00000000e-03
48,17.787488,1.35910170e-02,1.41803956e-02,1.39982504e-02,1.46430307e-02,1.63607793e-03,1.13639050e-04,1.74531103e-03,1.14045523e-04,1.00000000e-03
49,17.688693,1.52508603e-02,1.61168359e-02,1.52528161e-02,1.65261764e-02,2.09897611e-03,1.08100205e-04,2.21632361e-03,1.07547242e-04,1.00000000e-03
50,17.937069,2.17413327e-02,2.33692998e-02,2.79031137e-02,2.94888495e-02,4.68337496e-03,1.04985202e-04,6.84061171e-03,1.13323311e-04,1.00000000e-03
51,18.311828,1.54866426e-02,1.61470829e-02,1.24016034e-02,1.27604850e-02,2.17779373e-03,1.01088426e-04,1.37024163e-03,1.02058190e-04,1.00000000e-03
52,18.776696,1.14981192e-02,1.18428904e-02,1.32516713e-02,1.39247508e-02,1.16799704e-03,9.39070263e-05,1.60967871e-03,9.34148653e-05,1.00000000e-03
53,18.091649,1.62817703e-02,1.71852849e-02,1.33575429e-02,1.38320995e-02,2.47399110e-03,9.05881619e-05,1.52706856e-03,9.12983643e-05,1.00000000e-03
54,17.311019,1.37583771e-02,1.44696929e-02,1.38940151e-02,1.43061535e-02,1.71330162e-03,8.56225106e-05,1.69824027e-03,9.07170423e-05,1.00000000e-03
55,17.206074,1.51210355e-02,1.59484031e-02,1.45475045e-02,1.53190960e-02,2.09440486e-03,8.23764568e-05,1.89838925e-03,8.53357132e-05,1.00000000e-03
56,17.733263,1.35436287e-02,1.42307541e-02,1.12576785e-02,1.16228097e-02,1.65613752e-03,7.92655485e-05,1.13923152e-03,8.25178366e-05,1.00000000e-03
57,17.525106,1.14204417e-02,1.18627743e-02,1.32039775e-02,1.37164829e-02,1.16320273e-03,7.49152507e-05,1.46917836e-03,7.95860346e-05,1.00000000e-03
58,18.261268,1.42730332e-02,1.50222554e-02,1.22586781e-02,1.28044670e-02,1.84302660e-03,7.31768631e-05,1.36794375e-03,7.34666958e-05,1.00000000e-03
59,17.338786,1.64738544e-02,1.75103734e-02,1.87812281e-02,2.01094496e-02,2.53707005e-03,7.15483284e-05,3.32614101e-03,7.47619025e-05,1.00000000e-03
60,17.316949,1.87693764e-02,1.99574619e-02,1.91215819e-02,2.04584373e-02,3.22509997e-03,7.09767689e-05,3.38265686e-03,6.77985474e-05,1.00000000e-03
61,17.862024,1.38038588e-02,1.44721904e-02,1.19704021e-02,1.22634761e-02,1.74573083e-03,6.66453463e-05,1.22631942e-03,6.87191101e-05,1.00000000e-03
62,17.711501,1.13067377e-02,1.17073460e-02,1.35932322e-02,1.45282769e-02,1.13214456e-03,6.37888648e-05,1.69879438e-03,6.50522173e-05,1.00000000e-03
63,17.332073,1.60622139e-02,1.69946751e-02,1.18834558e-02,1.23207527e-02,2.32567713e-03,6.39339617e-05,1.26142529e-03,6.34832033e-05,1.00000000e-03
64,18.766699,1.26558084e-02,1.32408142e-02,1.33222668e-02,1.39268182e-02,1.42797668e-03,6.10894726e-05,1.55259432e-03,6.34272942e-05,1.00000000e-03
65,17.716612,1.65922672e-02,1.75871669e-02,1.50238866e-02,1.55041326e-02,2.53114209e-03,6.09971100e-05,1.92119433e-03,6.45421547e-05,1.00000000e-03
66,17.647194,1.28791910e-02,1.34995499e-02,1.31062482e-02,1.39000166e-02,1.51862492e-03,5.87868386e-05,1.58174113e-03,6.08419700e-05,1.00000000e-03
67,17.659437,1.40830565e-02,1.48787741e-02,1.55698987e-02,1.63349222e-02,1.81098153e-03,5.83322737e-05,2.07952341e-03,5.87986712e-05,1.00000000e-03
68,17.206345,1.17635768e-02,1.22621653e-02,1.24826294e-02,1.31572872e-02,1.23335781e-03,5.56954444e-05,1.38493523e-03,5.56847393e-05,1.00000000e-03
69,17.204976,1.25854342e-02,1.32067415e-02,1.60980194e-02,1.67940095e-02,1.41318998e-03,5.46588331e-05,2.16339529e-03,5.62449261e-05,1.00000000e-03
70,17.145534,1.39965764e-02,1.47429230e-02,1.72038714e-02,1.82728556e-02,1.79986761e-03,5.39084148e-05,2.60058925e-03,5.91006645e-05,1.00000000e-03
71,17.739388,1.36029866e-02,1.43150275e-02,1.36122314e-02,1.42045013e-02,1.63996104e-03,5.36621560e-05,1.64079619e-03,5.72685887e-05,1.00000000e-03
72,17.443092,1.37534933e-02,1.44777312e-02,1.57374930e-02,1.69048053e-02,1.72481236e-03,5.26790306e-05,2.20501113e-03,5.32677790e-05,1.00000000e-03
73,17.236799,1.43525782e-02,1.52180169e-02,1.24211044e-02,1.30265323e-02,1.90735039e-03,5.12503636e-05,1.36206512e-03,5.49097013e-05,1.00000000e-03
74,17.220582,2.05322809e-02,2.20528558e-02,1.81272636e-02,1.89722826e-02,4.26109721e-03,5.34796791e-05,2.87336151e-03,5.67910034e-05,1.00000000e-03
75,17.851309,1.24298354e-02,1.29592994e-02,1.33301307e-02,1.41287136e-02,1.38964649e-03,5.05561389e-05,1.57979738e-03,5.07222660e-05,1.00000000e-03
76,17.626510,1.47333981e-02,1.55756524e-02,1.42477467e-02,1.48130915e-02,2.03642953e-03,4.98542979e-05,1.77173860e-03,5.17409362e-05,1.00000000e-03
