epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
35,5.562873,4.66234963e-01,3.37281216e-01,4.66004927e-01,4.67234225e-01,5.99674528e+03,2.12106599e+02,4.83485041e+03,1.86365926e+02,1.00000000e-03
36,5.791932,4.47701053e-01,3.23986703e-01,4.65752324e-01,4.67047821e-01,5.29328582e+03,2.00694220e+02,4.76955668e+03,1.84350984e+02,1.00000000e-03
37,5.731634,4.46253438e-01,3.22956944e-01,4.65492918e-01,4.66902115e-01,5.26136390e+03,1.98192802e+02,4.70937284e+03,1.81274108e+02,1.00000000e-03
38,5.102839,4.45918980e-01,3.22760048e-01,4.66545160e-01,4.67936716e-01,5.19838019e+03,1.96232063e+02,4.64903034e+03,1.80027274e+02,1.00000000e-03
39,5.026871,4.44967127e-01,3.22103432e-01,4.70188495e-01,4.71669805e-01,5.22980357e+03,1.96997769e+02,4.59757544e+03,1.79192984e+02,1.00000000e-03
40,5.177504,4.45919571e-01,3.22722826e-01,4.70452373e-01,4.72112695e-01,5.09901562e+03,1.92956697e+02,4.53711544e+03,1.77639699e+02,1.00000000e-03
41,5.193524,4.44559310e-01,3.21874556e-01,4.66128686e-01,4.67994816e-01,5.02502334e+03,1.90287287e+02,4.46234030e+03,1.75201294e+02,1.00000000e-03
42,5.151821,4.40168379e-01,3.18782987e-01,4.66171383e-01,4.68111181e-01,4.91854522e+03,1.85739809e+02,4.39865301e+03,1.72987603e+02,1.00000000e-03
43,5.141522,4.37366348e-01,3.17002709e-01,4.61951998e-01,4.64830174e-01,4.83713525e+03,1.84072748e+02,4.33348246e+03,1.70917189e+02,1.00000000e-03
44,4.966412,4.39359073e-01,3.18211052e-01,4.69371029e-01,4.71141090e-01,4.79770440e+03,1.83107066e+02,4.28503313e+03,1.69431106e+02,1.00000000e-03
45,5.151119,4.39489792e-01,3.18297460e-01,4.68854176e-01,4.70976257e-01,4.78261166e+03,1.81787775e+02,4.22619618e+03,1.67431498e+02,1.00000000e-03
46,5.277873,4.36187009e-01,3.16193116e-01,4.62975143e-01,4.65862703e-01,4.67156387e+03,1.79531081e+02,4.15387863e+03,1.68648331e+02,1.00000000e-03
47,5.212875,4.36935473e-01,3.16936328e-01,4.71113115e-01,4.74354306e-01,4.59241621e+03,1.80350991e+02,4.11520414e+03,1.69942391e+02,1.00000000e-03
48,5.204296,4.37449874e-01,3.17383164e-01,4.68408207e-01,4.72267401e-01,4.58179721e+03,1.80279193e+02,4.05064962e+03,1.68847607e+02,1.00000000e-03
49,5.162101,4.32161956e-01,3.14273251e-01,4.58299824e-01,4.64338086e-01,4.44605351e+03,1.77558346e+02,4.01674613e+03,1.66562110e+02,1.00000000e-03
50,5.174707,4.16886813e-01,3.04315781e-01,4.63646332e-01,4.69713104e-01,4.37154792e+03,1.80042268e+02,3.93465175e+03,1.70423235e+02,1.00000000e-03
51,5.090867,5.96094004e-01,4.35872033e-01,8.93680458e-01,8.99805210e-01,7.55478603e+03,2.63206185e+02,1.27215852e+04,3.94965912e+02,1.00000000e-03
52,5.092410,6.31032645e-01,4.65019764e-01,5.88469991e-01,6.03167830e-01,9.08834546e+03,2.70478385e+02,7.59533489e+03,2.41071343e+02,1.00000000e-03
53,5.130076,7.20037401e-01,5.30584069e-01,8.65762631e-01,8.75839834e-01,1.05409751e+04,2.90353800e+02,1.18963491e+04,3.21746198e+02,1.00000000e-03
54,5.498866,8.68643863e-01,6.33806511e-01,9.05294224e-01,9.10988340e-01,1.30239488e+04,3.36352721e+02,1.21641346e+04,3.34809913e+02,1.00000000e-03
55,5.267115,9.47889919e-01,6.87317210e-01,9.78442633e-01,9.81089230e-01,1.46851505e+04,3.49710590e+02,1.40525202e+04,3.36983792e+02,1.00000000e-03
56,5.280748,9.73331977e-01,7.04269949e-01,9.81273651e-01,9.83458858e-01,1.50702252e+04,3.49513788e+02,1.41255525e+04,3.31030426e+02,1.00000000e-03
57,5.223610,9.84804492e-01,7.12000966e-01,1.01188659e+00,1.01275960e+00,1.58788490e+04,3.50423983e+02,1.52884233e+04,3.34941482e+02,1.00000000e-03
58,5.202299,1.00831201e+00,7.28840576e-01,1.01546494e+00,1.01705207e+00,1.68991244e+04,3.55946606e+02,1.62482713e+04,3.44887920e+02,1.00000000e-03
59,5.243786,1.00912454e+00,7.29812624e-01,1.01023843e+00,1.01227372e+00,1.69184303e+04,3.48406229e+02,1.56402663e+04,3.27229264e+02,1.00000000e-03
60,5.449110,1.01107803e+00,7.31349733e-01,1.01093327e+00,1.01308391e+00,1.69876207e+04,3.43981178e+02,1.56472199e+04,3.23351144e+02,1.00000000e-03
61,5.169059,1.01141032e+00,7.31608962e-01,1.01074702e+00,1.01289673e+00,1.71594105e+04,3.44879018e+02,1.56489312e+04,3.20576838e+02,1.00000000e-03
62,5.124827,1.00407235e+00,7.25768994e-01,9.87876122e-01,9.87989411e-01,1.66880875e+04,3.34652686e+02,1.49445357e+04,3.09671187e+02,1.00000000e-03
63,5.134073,9.86972723e-01,7.12500563e-01,9.87382272e-01,9.87487488e-01,1.60890301e+04,3.26173241e+02,1.49202041e+04,3.10282696e+02,1.00000000e-03
64,5.001413,9.90680259e-01,7.15317105e-01,9.98081669e-01,9.98689437e-01,1.63949869e+04,3.31509479e+02,1.54908965e+04,3.21306615e+02,1.00000000e-03
