epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,18.057510,3.46284103e-01,3.68508713e-01,2.39283009e-01,2.62042757e-01,2.68903667e+00,3.45134484e-01,1.30618796e+00,1.08815516e-01,1.00000000e-03
1,17.389502,2.19507268e-01,2.37933697e-01,2.16816074e-01,2.45906743e-01,1.07414362e+00,8.01983537e-02,1.14519568e+00,4.71273854e-02,1.00000000e-03
2,18.695514,1.92058334e-01,2.09088482e-01,1.85451701e-01,2.08852987e-01,8.31953540e-01,4.28826787e-02,8.37377611e-01,2.93679889e-02,1.00000000e-03
3,19.089457,1.79430759e-01,1.95967767e-01,1.63670164e-01,1.79990458e-01,7.30367094e-01,2.72813456e-02,6.27257772e-01,2.16069152e-02,1.00000000e-03
4,17.763518,1.67243810e-01,1.82421735e-01,1.60384950e-01,1.77422819e-01,6.34355743e-01,2.08198100e-02,6.09728411e-01,1.69718656e-02,1.00000000e-03
5,17.381569,1.58939608e-01,1.74077114e-01,1.87439088e-01,2.05603554e-01,5.79015492e-01,1.75294407e-02,8.03008598e-01,1.96566845e-02,1.00000000e-03
6,15.108944,1.57390527e-01,1.72574846e-01,1.56009760e-01,1.73563704e-01,5.69208527e-01,1.54926853e-02,5.81074633e-01,1.38450710e-02,1.00000000e-03
7,16.924200,1.51839929e-01,1.66771838e-01,1.43709631e-01,1.57653593e-01,5.31468796e-01,1.39733746e-02,4.82602538e-01,1.28731428e-02,1.00000000e-03
8,14.509710,1.47669966e-01,1.62156426e-01,1.38181024e-01,1.52980276e-01,5.03571014e-01,1.26710142e-02,4.56529225e-01,1.14697305e-02,1.00000000e-03
9,16.981070,1.44967740e-01,1.59556180e-01,1.32027824e-01,1.44118072e-01,4.89170118e-01,1.16274839e-02,4.06243663e-01,1.10251406e-02,1.00000000e-03
10,18.937516,1.41052024e-01,1.55235715e-01,1.47729122e-01,1.64328747e-01,4.60200149e-01,1.08258241e-02,5.21192268e-01,1.07996914e-02,1.00000000e-03
11,17.622490,1.37614220e-01,1.51234163e-01,1.29723568e-01,1.42719666e-01,4.38190756e-01,1.01173766e-02,4.00506324e-01,9.69230127e-03,1.00000000e-03
12,17.748601,1.37702185e-01,1.51213278e-01,1.35413041e-01,1.48047537e-01,4.39314545e-01,9.49608037e-03,4.22861239e-01,9.58664622e-03,1.00000000e-03
13,17.473312,1.37212807e-01,1.51270075e-01,1.37000025e-01,1.50797857e-01,4.37895299e-01,8.93843858e-03,4.45911971e-01,8.61530799e-03,1.00000000e-03
14,17.075013,1.31606342e-01,1.44408302e-01,1.37437251e-01,1.52924513e-01,4.00228998e-01,8.48306214e-03,4.57034531e-01,7.78957391e-03,1.00000000e-03
15,16.810516,1.29743062e-01,1.42316355e-01,1.28221683e-01,1.40569656e-01,3.87733908e-01,8.00582920e-03,3.84491250e-01,7.78203150e-03,1.00000000e-03
16,17.218547,1.28521262e-01,1.41216424e-01,1.34748019e-01,1.51397979e-01,3.82237386e-01,7.60465838e-03,4.46322550e-01,6.61741927e-03,1.00000000e-03
17,16.446049,1.26077380e-01,1.38283768e-01,1.19210931e-01,1.30899908e-01,3.66447006e-01,7.18634913e-03,3.39425264e-01,6.97621789e-03,1.00000000e-03
18,13.357590,1.26797483e-01,1.39793914e-01,1.28465899e-01,1.41654602e-01,3.76617252e-01,6.81497909e-03,3.91970985e-01,6.33779420e-03,1.00000000e-03
19,13.285510,1.26417267e-01,1.39192240e-01,1.31280040e-01,1.45787554e-01,3.73091361e-01,6.47674354e-03,4.12884583e-01,6.09041059e-03,1.00000000e-03
20,14.029551,1.26963026e-01,1.39651749e-01,1.25554355e-01,1.38290634e-01,3.74597189e-01,6.14583029e-03,3.74744532e-01,5.92780448e-03,1.00000000e-03
21,16.765032,1.21232786e-01,1.32849972e-01,1.20365318e-01,1.33424667e-01,3.38952294e-01,5.87724820e-03,3.48374399e-01,5.27415914e-03,1.00000000e-03
22,16.866512,1.23348594e-01,1.35853564e-01,1.30014198e-01,1.44597950e-01,3.53011153e-01,5.60267435e-03,4.11806774e-01,5.62782245e-03,1.00000000e-03
23,16.739216,1.21621001e-01,1.33912447e-01,1.28560589e-01,1.41891899e-01,3.43962981e-01,5.33159184e-03,3.90563974e-01,5.20598466e-03,1.00000000e-03
24,18.344522,1.20167960e-01,1.32038341e-01,1.29744823e-01,1.43081989e-01,3.35733585e-01,5.08854364e-03,3.97455613e-01,5.45764003e-03,1.00000000e-03
25,16.831989,1.20437269e-01,1.32528994e-01,1.35669769e-01,1.53435956e-01,3.37441092e-01,4.87843155e-03,4.56093816e-01,3.90623727e-03,1.00000000e-03
26,16.707493,1.17002158e-01,1.28334628e-01,1.10485256e-01,1.22131145e-01,3.15729703e-01,4.64731916e-03,2.95139325e-01,4.23113639e-03,1.00000000e-03
27,15.582031,1.12857004e-01,1.23306581e-01,1.31127624e-01,1.50855132e-01,2.91977763e-01,4.49116791e-03,4.41708031e-01,3.61620435e-03,1.00000000e-03
28,13.421472,1.21097343e-01,1.33702870e-01,1.12625888e-01,1.24090118e-01,3.43712225e-01,4.21653395e-03,3.04217807e-01,3.97458529e-03,1.00000000e-03
29,14.525818,1.12717932e-01,1.23482250e-01,1.13443894e-01,1.26156495e-01,2.93044109e-01,4.10693459e-03,3.10992090e-01,3.76858140e-03,1.00000000e-03
30,16.678256,1.18134975e-01,1.30539012e-01,1.20817658e-01,1.33662828e-01,3.26889015e-01,3.90717959e-03,3.50390139e-01,3.71448648e-03,1.00000000e-03
31,16.969992,1.16017585e-01,1.27576374e-01,1.14893090e-01,1.27733074e-01,3.12448140e-01,3.74982785e-03,3.19891572e-01,3.28644468e-03,1.00000000e-03
32,16.999477,1.12126387e-01,1.23055723e-01,1.08659072e-01,1.20460492e-01,2.90651298e-01,3.64005805e-03,2.85260613e-01,3.16529147e-03,1.00000000e-03
33,17.810081,1.10946112e-01,1.21602889e-01,1.08433335e-01,1.19314911e-01,2.84394674e-01,3.49394731e-03,2.81121311e-01,3.27457382e-03,1.00000000e-03
34,17.554831,1.10041030e-01,1.20918530e-01,1.07444851e-01,1.19113502e-01,2.81165227e-01,3.37361728e-03,2.79305691e-01,3.14677902e-03,1.00000000e-03
35,15.999621,1.08482106e-01,1.18901516e-01,1.14743642e-01,1.28676013e-01,2.71385584e-01,3.24892365e-03,3.22774227e-01,2.83303180e-03,1.00000000e-03
36,13.932967,1.21608907e-01,1.35123475e-01,1.18423177e-01,1.30656966e-01,3.50606784e-01,3.10938898e-03,3.33577062e-01,2.91645559e-03,1.00000000e-03
37,13.368615,1.10471064e-01,1.20986500e-01,1.08690178e-01,1.19731235e-01,2.81401412e-01,3.00781431e-03,2.80649393e-01,3.02282182e-03,1.00000000e-03
38,14.700094,1.10382334e-01,1.21670231e-01,1.10646141e-01,1.22520388e-01,2.84527711e-01,2.94342349e-03,2.95628443e-01,2.66846790e-03,1.00000000e-03
39,16.424138,1.08039744e-01,1.18385796e-01,1.04692928e-01,1.15518453e-01,2.69455321e-01,2.85372450e-03,2.62391406e-01,2.75685664e-03,1.00000000e-03
40,15.201749,1.11770773e-01,1.23101847e-01,1.08998175e-01,1.20434712e-01,2.91563306e-01,2.75715477e-03,2.84839775e-01,2.67408411e-03,1.00000000e-03
41,15.590655,1.04021630e-01,1.13770306e-01,1.08911910e-01,1.20551000e-01,2.49097760e-01,2.68516232e-03,2.86178146e-01,2.70842483e-03,1.00000000e-03
42,15.364165,1.08543693e-01,1.19482504e-01,1.07088794e-01,1.18923258e-01,2.74491682e-01,2.59487027e-03,2.78501546e-01,2.41250406e-03,1.00000000e-03
43,16.735348,1.09131613e-01,1.20214861e-01,1.08176746e-01,1.20142824e-01,2.78003825e-01,2.52597120e-03,2.82138298e-01,2.22362760e-03,1.00000000e-03
44,16.723114,1.07815913e-01,1.18790792e-01,1.05787055e-01,1.17472953e-01,2.71148187e-01,2.45144447e-03,2.72320789e-01,2.22741251e-03,1.00000000e-03
45,16.259111,1.05099771e-01,1.15272018e-01,1.10412331e-01,1.23055480e-01,2.55301508e-01,2.38388978e-03,3.00666708e-01,2.37829274e-03,1.00000000e-03
46,16.198939,1.06655599e-01,1.17326224e-01,1.02045300e-01,1.12779459e-01,2.64638336e-01,2.31588722e-03,2.49924759e-01,2.18650872e-03,1.00000000e-03
47,15.458067,1.03442619e-01,1.13409629e-01,1.03231803e-01,1.13735813e-01,2.47272510e-01,2.26538097e-03,2.55426659e-01,2.10300372e-03,1.00000000e-03
48,12.882849,1.04056765e-01,1.14238559e-01,9.96163092e-02,1.09524812e-01,2.51087493e-01,2.20545386e-03,2.37605672e-01,2.01650868e-03,1.00000000e-03
