nohup: ignoring input
NS data loaded: train (1000, 64, 64, 10) -> (1000, 64, 64, 10), test (200, 64, 64, 10)
parameters: 526059
epoch 0000 | 19.15s | train_full 1.690507e-01 | test_full 9.083776e-02
epoch 0001 | 17.70s | train_full 6.502055e-02 | test_full 5.474518e-02
epoch 0002 | 17.65s | train_full 4.631744e-02 | test_full 4.137690e-02
epoch 0003 | 17.67s | train_full 4.301984e-02 | test_full 3.344869e-02
epoch 0004 | 18.93s | train_full 3.346155e-02 | test_full 2.881066e-02
epoch 0005 | 19.61s | train_full 2.934474e-02 | test_full 3.028427e-02
epoch 0006 | 19.54s | train_full 2.868260e-02 | test_full 2.461546e-02
epoch 0007 | 19.47s | train_full 2.842309e-02 | test_full 3.195335e-02
epoch 0008 | 18.07s | train_full 2.930037e-02 | test_full 2.465838e-02
epoch 0009 | 18.00s | train_full 2.433073e-02 | test_full 2.365106e-02
epoch 0010 | 17.61s | train_full 2.396696e-02 | test_full 2.815740e-02
epoch 0011 | 18.69s | train_full 2.651957e-02 | test_full 2.296173e-02
epoch 0012 | 20.03s | train_full 2.238284e-02 | test_full 2.360371e-02
epoch 0013 | 18.75s | train_full 2.369225e-02 | test_full 1.804328e-02
epoch 0014 | 19.56s | train_full 1.945796e-02 | test_full 1.986832e-02
epoch 0015 | 18.44s | train_full 2.117718e-02 | test_full 1.911028e-02
epoch 0016 | 19.72s | train_full 2.106077e-02 | test_full 2.995526e-02
epoch 0017 | 18.07s | train_full 2.110332e-02 | test_full 2.943113e-02
epoch 0018 | 18.88s | train_full 2.059816e-02 | test_full 1.715942e-02
epoch 0019 | 17.89s | train_full 2.139927e-02 | test_full 1.659693e-02
epoch 0020 | 19.06s | train_full 1.886147e-02 | test_full 1.601514e-02
epoch 0021 | 18.57s | train_full 1.928371e-02 | test_full 1.715412e-02
epoch 0022 | 18.84s | train_full 1.966791e-02 | test_full 1.606829e-02
epoch 0023 | 18.01s | train_full 1.911347e-02 | test_full 1.753452e-02
epoch 0024 | 18.77s | train_full 2.006576e-02 | test_full 2.041346e-02
epoch 0025 | 17.24s | train_full 2.202490e-02 | test_full 1.830524e-02
epoch 0026 | 17.82s | train_full 1.764216e-02 | test_full 1.935932e-02
epoch 0027 | 18.17s | train_full 1.727057e-02 | test_full 1.893032e-02
epoch 0028 | 16.94s | train_full 1.598458e-02 | test_full 1.840497e-02
epoch 0029 | 17.24s | train_full 1.920554e-02 | test_full 2.222561e-02
epoch 0030 | 17.42s | train_full 1.720862e-02 | test_full 2.016891e-02
epoch 0031 | 17.35s | train_full 1.701757e-02 | test_full 2.301563e-02
epoch 0032 | 17.34s | train_full 1.794306e-02 | test_full 1.681973e-02
epoch 0033 | 17.44s | train_full 1.655838e-02 | test_full 1.412148e-02
epoch 0034 | 17.32s | train_full 1.406004e-02 | test_full 1.648204e-02
epoch 0035 | 17.22s | train_full 1.521489e-02 | test_full 1.494167e-02
epoch 0036 | 17.44s | train_full 1.897802e-02 | test_full 2.247365e-02
epoch 0037 | 17.58s | train_full 1.813999e-02 | test_full 1.807270e-02
epoch 0038 | 18.18s | train_full 2.114423e-02 | test_full 2.600534e-02
epoch 0039 | 18.28s | train_full 1.613622e-02 | test_full 1.109742e-02
epoch 0040 | 18.13s | train_full 1.270715e-02 | test_full 1.390992e-02
epoch 0041 | 17.20s | train_full 1.673154e-02 | test_full 1.758946e-02
epoch 0042 | 17.91s | train_full 1.787508e-02 | test_full 1.370085e-02
epoch 0043 | 18.33s | train_full 1.771571e-02 | test_full 1.616624e-02
epoch 0044 | 17.59s | train_full 1.427669e-02 | test_full 1.270283e-02
epoch 0045 | 17.22s | train_full 1.396257e-02 | test_full 2.057412e-02
epoch 0046 | 17.24s | train_full 1.711839e-02 | test_full 1.410595e-02
epoch 0047 | 17.83s | train_full 1.658662e-02 | test_full 1.621864e-02
epoch 0048 | 17.79s | train_full 1.418040e-02 | test_full 1.464303e-02
epoch 0049 | 17.69s | train_full 1.611684e-02 | test_full 1.652618e-02
epoch 0050 | 17.94s | train_full 2.336930e-02 | test_full 2.948885e-02
epoch 0051 | 18.31s | train_full 1.614708e-02 | test_full 1.276049e-02
epoch 0052 | 18.78s | train_full 1.184289e-02 | test_full 1.392475e-02
epoch 0053 | 18.09s | train_full 1.718528e-02 | test_full 1.383210e-02
epoch 0054 | 17.31s | train_full 1.446969e-02 | test_full 1.430615e-02
epoch 0055 | 17.21s | train_full 1.594840e-02 | test_full 1.531910e-02
epoch 0056 | 17.73s | train_full 1.423075e-02 | test_full 1.162281e-02
epoch 0057 | 17.53s | train_full 1.186277e-02 | test_full 1.371648e-02
epoch 0058 | 18.26s | train_full 1.502226e-02 | test_full 1.280447e-02
epoch 0059 | 17.34s | train_full 1.751037e-02 | test_full 2.010945e-02
epoch 0060 | 17.32s | train_full 1.995746e-02 | test_full 2.045844e-02
epoch 0061 | 17.86s | train_full 1.447219e-02 | test_full 1.226348e-02
epoch 0062 | 17.71s | train_full 1.170735e-02 | test_full 1.452828e-02
epoch 0063 | 17.33s | train_full 1.699468e-02 | test_full 1.232075e-02
epoch 0064 | 18.77s | train_full 1.324081e-02 | test_full 1.392682e-02
epoch 0065 | 17.72s | train_full 1.758717e-02 | test_full 1.550413e-02
epoch 0066 | 17.65s | train_full 1.349955e-02 | test_full 1.390002e-02
epoch 0067 | 17.66s | train_full 1.487877e-02 | test_full 1.633492e-02
epoch 0068 | 17.21s | train_full 1.226217e-02 | test_full 1.315729e-02
epoch 0069 | 17.20s | train_full 1.320674e-02 | test_full 1.679401e-02
epoch 0070 | 17.15s | train_full 1.474292e-02 | test_full 1.827286e-02
epoch 0071 | 17.74s | train_full 1.431503e-02 | test_full 1.420450e-02
epoch 0072 | 17.44s | train_full 1.447773e-02 | test_full 1.690481e-02
epoch 0073 | 17.24s | train_full 1.521802e-02 | test_full 1.302653e-02
epoch 0074 | 17.22s | train_full 2.205286e-02 | test_full 1.897228e-02
epoch 0075 | 17.85s | train_full 1.295930e-02 | test_full 1.412871e-02
epoch 0076 | 17.63s | train_full 1.557565e-02 | test_full 1.481309e-02
epoch 0077 | 18.21s | train_full 1.469670e-02 | test_full 1.383661e-02
epoch 0078 | 18.76s | train_full 1.241687e-02 | test_full 1.158084e-02
epoch 0079 | 18.55s | train_full 1.189864e-02 | test_full 1.378221e-02
epoch 0080 | 18.72s | train_full 1.360529e-02 | test_full 1.274844e-02
epoch 0081 | 18.08s | train_full 1.227173e-02 | test_full 1.244978e-02
epoch 0082 | 18.57s | train_full 1.240502e-02 | test_full 1.422837e-02
epoch 0083 | 17.30s | train_full 1.418440e-02 | test_full 1.919041e-02
epoch 0084 | 17.31s | train_full 1.248363e-02 | test_full 9.638927e-03
epoch 0085 | 18.15s | train_full 1.310096e-02 | test_full 1.105429e-02
epoch 0086 | 17.32s | train_full 1.277448e-02 | test_full 1.294548e-02
epoch 0087 | 17.25s | train_full 1.460658e-02 | test_full 1.797430e-02
epoch 0088 | 17.39s | train_full 1.662327e-02 | test_full 1.078349e-02
epoch 0089 | 17.84s | train_full 1.297640e-02 | test_full 1.934006e-02
epoch 0090 | 18.11s | train_full 1.346836e-02 | test_full 1.737186e-02
epoch 0091 | 17.53s | train_full 1.881606e-02 | test_full 1.651128e-02
epoch 0092 | 17.59s | train_full 1.383696e-02 | test_full 1.398532e-02
epoch 0093 | 18.28s | train_full 1.394584e-02 | test_full 1.039039e-02
epoch 0094 | 18.27s | train_full 1.103153e-02 | test_full 1.527972e-02
epoch 0095 | 17.56s | train_full 1.399311e-02 | test_full 1.650117e-02
epoch 0096 | 17.72s | train_full 1.345062e-02 | test_full 1.275540e-02
epoch 0097 | 17.45s | train_full 1.248366e-02 | test_full 1.631989e-02
epoch 0098 | 17.48s | train_full 1.335170e-02 | test_full 1.408664e-02
epoch 0099 | 17.50s | train_full 1.307543e-02 | test_full 1.302730e-02
epoch 0100 | 17.64s | train_full 9.155118e-03 | test_full 8.247087e-03
epoch 0101 | 18.70s | train_full 7.584104e-03 | test_full 1.003585e-02
epoch 0102 | 17.91s | train_full 7.514938e-03 | test_full 7.627796e-03
epoch 0103 | 18.23s | train_full 7.414317e-03 | test_full 8.754197e-03
epoch 0104 | 17.57s | train_full 7.305603e-03 | test_full 8.175685e-03
epoch 0105 | 17.16s | train_full 7.726424e-03 | test_full 8.717399e-03
epoch 0106 | 17.24s | train_full 7.903135e-03 | test_full 1.234013e-02
epoch 0107 | 17.20s | train_full 8.192404e-03 | test_full 7.896625e-03
epoch 0108 | 17.22s | train_full 7.274462e-03 | test_full 7.401689e-03
epoch 0109 | 17.21s | train_full 7.742066e-03 | test_full 6.935404e-03
epoch 0110 | 17.27s | train_full 7.261940e-03 | test_full 7.372377e-03
epoch 0111 | 17.20s | train_full 8.299390e-03 | test_full 9.607977e-03
epoch 0112 | 17.12s | train_full 9.971446e-03 | test_full 9.232976e-03
epoch 0113 | 18.33s | train_full 9.300951e-03 | test_full 9.102051e-03
epoch 0114 | 18.97s | train_full 8.855677e-03 | test_full 9.871233e-03
epoch 0115 | 19.11s | train_full 8.487536e-03 | test_full 1.176590e-02
epoch 0116 | 18.05s | train_full 8.261492e-03 | test_full 1.226353e-02
epoch 0117 | 17.53s | train_full 1.396670e-02 | test_full 1.119617e-02
epoch 0118 | 17.32s | train_full 9.072666e-03 | test_full 8.057560e-03
epoch 0119 | 17.35s | train_full 8.853740e-03 | test_full 8.466956e-03
epoch 0120 | 17.23s | train_full 8.337737e-03 | test_full 7.875708e-03
epoch 0121 | 17.30s | train_full 9.196194e-03 | test_full 9.742596e-03
epoch 0122 | 17.26s | train_full 8.602463e-03 | test_full 9.034740e-03
epoch 0123 | 17.15s | train_full 8.212801e-03 | test_full 8.234925e-03
epoch 0124 | 17.25s | train_full 9.152790e-03 | test_full 9.000923e-03
epoch 0125 | 17.96s | train_full 1.041314e-02 | test_full 1.226046e-02
epoch 0126 | 17.89s | train_full 9.516710e-03 | test_full 9.593081e-03
epoch 0127 | 17.16s | train_full 9.802562e-03 | test_full 8.112914e-03
epoch 0128 | 18.07s | train_full 8.770302e-03 | test_full 1.064664e-02
epoch 0129 | 18.13s | train_full 8.112913e-03 | test_full 9.770017e-03
epoch 0130 | 17.17s | train_full 8.108307e-03 | test_full 8.620871e-03
epoch 0131 | 17.19s | train_full 9.223078e-03 | test_full 8.415613e-03
epoch 0132 | 17.20s | train_full 9.818040e-03 | test_full 8.225844e-03
epoch 0133 | 17.15s | train_full 9.017204e-03 | test_full 9.086783e-03
epoch 0134 | 17.18s | train_full 8.861849e-03 | test_full 7.622024e-03
epoch 0135 | 18.05s | train_full 8.738502e-03 | test_full 1.110258e-02
epoch 0136 | 17.86s | train_full 1.046304e-02 | test_full 8.691654e-03
epoch 0137 | 17.97s | train_full 9.277211e-03 | test_full 8.875825e-03
epoch 0138 | 17.38s | train_full 7.778665e-03 | test_full 7.399412e-03
epoch 0139 | 17.24s | train_full 8.777722e-03 | test_full 8.926130e-03
epoch 0140 | 17.88s | train_full 8.496835e-03 | test_full 8.407945e-03
epoch 0141 | 17.65s | train_full 7.921291e-03 | test_full 8.934702e-03
epoch 0142 | 17.98s | train_full 8.818411e-03 | test_full 9.704655e-03
epoch 0143 | 17.06s | train_full 7.871494e-03 | test_full 9.895138e-03
epoch 0144 | 17.32s | train_full 9.584106e-03 | test_full 8.237297e-03
epoch 0145 | 17.74s | train_full 1.018782e-02 | test_full 7.890553e-03
epoch 0146 | 17.44s | train_full 8.194352e-03 | test_full 8.843665e-03
epoch 0147 | 17.62s | train_full 7.844352e-03 | test_full 8.349736e-03
epoch 0148 | 17.29s | train_full 1.008946e-02 | test_full 9.020256e-03
epoch 0149 | 17.20s | train_full 8.039741e-03 | test_full 8.575213e-03
epoch 0150 | 17.11s | train_full 8.159870e-03 | test_full 9.257226e-03
epoch 0151 | 17.56s | train_full 9.431339e-03 | test_full 9.949276e-03
epoch 0152 | 17.73s | train_full 9.461882e-03 | test_full 1.042353e-02
epoch 0153 | 17.49s | train_full 9.372293e-03 | test_full 1.231129e-02
epoch 0154 | 17.68s | train_full 1.315239e-02 | test_full 9.891258e-03
epoch 0155 | 17.44s | train_full 8.130750e-03 | test_full 7.629745e-03
epoch 0156 | 17.18s | train_full 7.118835e-03 | test_full 8.641193e-03
epoch 0157 | 17.23s | train_full 7.423761e-03 | test_full 9.303039e-03
epoch 0158 | 17.56s | train_full 7.485967e-03 | test_full 1.116843e-02
epoch 0159 | 17.52s | train_full 8.967008e-03 | test_full 9.192051e-03
epoch 0160 | 17.13s | train_full 7.625656e-03 | test_full 7.837249e-03
epoch 0161 | 17.19s | train_full 1.011356e-02 | test_full 9.786959e-03
epoch 0162 | 17.19s | train_full 9.013242e-03 | test_full 9.193863e-03
epoch 0163 | 17.23s | train_full 8.619662e-03 | test_full 8.561566e-03
epoch 0164 | 17.17s | train_full 8.730072e-03 | test_full 1.188700e-02
epoch 0165 | 17.17s | train_full 9.594089e-03 | test_full 1.003428e-02
epoch 0166 | 17.19s | train_full 8.457858e-03 | test_full 1.045305e-02
epoch 0167 | 17.14s | train_full 9.154853e-03 | test_full 1.003731e-02
epoch 0168 | 17.67s | train_full 9.784276e-03 | test_full 9.751544e-03
