epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
35,34.525730,1.02628032e-01,7.87297454e-02,1.36684088e-01,1.43836675e-01,1.65292019e-01,2.02607322e-02,1.78840978e-01,1.70566369e-02,5.00000000e-04
36,34.478810,1.05941281e-01,8.12190179e-02,1.01834751e-01,1.07405697e-01,1.63545605e-01,2.03953407e-02,1.35231678e-01,1.64120369e-02,5.00000000e-04
37,34.366866,1.06694970e-01,8.18623683e-02,8.68205529e-02,9.14018654e-02,1.60097757e-01,2.00622533e-02,2.11729529e-01,1.67024203e-02,5.00000000e-04
38,34.563603,1.17750474e-01,9.04581428e-02,1.18305658e-01,1.25852163e-01,1.71834951e-01,2.02374557e-02,1.49310950e-01,1.71496714e-02,5.00000000e-04
39,34.486524,1.08720885e-01,8.36100403e-02,1.12624053e-01,1.20017193e-01,1.70006046e-01,2.07815315e-02,1.51176994e-01,1.66509300e-02,5.00000000e-04
40,34.598826,1.13556320e-01,8.75141879e-02,9.32272531e-02,1.01750749e-01,1.61344419e-01,2.00064308e-02,1.92757306e-01,1.69572188e-02,5.00000000e-04
41,34.947077,1.14326622e-01,8.75070854e-02,2.19769953e-01,2.35637516e-01,1.73888269e-01,2.07114112e-02,1.70568545e-01,1.70762660e-02,5.00000000e-04
42,34.479972,1.12555941e-01,8.64302237e-02,1.10553254e-01,1.18210873e-01,1.61770692e-01,2.01717347e-02,1.60772512e-01,1.61530086e-02,5.00000000e-04
43,34.817306,1.08052581e-01,8.27992362e-02,7.57274796e-02,8.00297959e-02,1.63150909e-01,2.01192578e-02,1.55515008e-01,1.59298053e-02,5.00000000e-04
44,34.462198,1.17462601e-01,8.98230400e-02,7.84184691e-02,8.23446453e-02,1.68505260e-01,2.02848082e-02,1.70319146e-01,1.69266209e-02,5.00000000e-04
45,33.995884,1.12233311e-01,8.63242484e-02,6.19856934e-02,6.58049371e-02,1.56193363e-01,2.02426537e-02,1.34500506e-01,1.58608398e-02,5.00000000e-04
46,34.207172,1.20729911e-01,9.31400542e-02,2.24650028e-01,2.47661869e-01,1.63688281e-01,1.98801352e-02,1.78654829e-01,1.70541003e-02,5.00000000e-04
47,33.785950,1.00437776e-01,7.73631254e-02,6.29011655e-02,6.67882035e-02,1.50735806e-01,1.97317086e-02,1.27438156e-01,1.63477201e-02,5.00000000e-04
48,33.971335,1.07596133e-01,8.26059484e-02,7.71774659e-02,8.17517286e-02,1.59277621e-01,2.00493018e-02,1.51346300e-01,1.59343245e-02,5.00000000e-04
49,33.735865,1.13322325e-01,8.71941285e-02,9.14273562e-02,9.85856818e-02,1.59262855e-01,1.97721539e-02,1.69299176e-01,1.60021436e-02,5.00000000e-04
50,33.924863,9.16530308e-02,7.02393962e-02,7.39002017e-02,7.91614737e-02,1.56066679e-01,1.96516453e-02,1.98924247e-01,1.58877214e-02,5.00000000e-04
51,34.596797,9.78330734e-02,7.45328174e-02,1.69685591e-01,1.78758061e-01,1.53162591e-01,1.93836743e-02,1.64313517e-01,1.55469429e-02,5.00000000e-04
52,34.701933,9.61476003e-02,7.40057161e-02,1.47301408e-01,1.58520332e-01,1.50202826e-01,1.94251346e-02,1.66175864e-01,1.59046122e-02,5.00000000e-04
53,34.425519,1.00987648e-01,7.75808271e-02,8.31683971e-02,8.79107018e-02,1.49930700e-01,1.97416266e-02,1.39291457e-01,1.61823929e-02,5.00000000e-04
54,34.421423,1.13137078e-01,8.73965731e-02,9.55332251e-02,1.01878229e-01,1.59653218e-01,2.00552290e-02,1.44818177e-01,1.63886509e-02,5.00000000e-04
55,34.451495,1.06406221e-01,8.15815363e-02,1.08208367e-01,1.18201935e-01,1.47403174e-01,1.93969019e-02,1.61443201e-01,1.58232671e-02,5.00000000e-04
56,34.354412,1.03127740e-01,7.90863622e-02,7.07208993e-02,7.56015857e-02,1.49751932e-01,1.91921219e-02,1.19025769e-01,1.59055644e-02,5.00000000e-04
57,34.476172,1.10953297e-01,8.49335408e-02,7.06701215e-02,7.60328941e-02,1.47149367e-01,1.97400469e-02,1.37553708e-01,1.58888971e-02,5.00000000e-04
58,34.523332,9.86005002e-02,7.57171416e-02,7.96733992e-02,8.45809515e-02,1.55880802e-01,1.99281779e-02,1.40648514e-01,1.65640673e-02,5.00000000e-04
59,34.379188,9.68146067e-02,7.45205591e-02,6.97951957e-02,7.46371262e-02,1.46921803e-01,1.94709498e-02,1.42464969e-01,1.61977632e-02,5.00000000e-04
60,34.584337,1.04773331e-01,8.02722285e-02,1.40867322e-01,1.49201440e-01,1.49277913e-01,1.95063123e-02,1.47369096e-01,1.56527517e-02,5.00000000e-04
61,35.101945,9.68974736e-02,7.43160839e-02,1.51322356e-01,1.63058922e-01,1.46043588e-01,1.89757744e-02,1.35546459e-01,1.57036979e-02,5.00000000e-04
62,34.608514,9.91196365e-02,7.59504857e-02,1.17791229e-01,1.23680558e-01,1.43049435e-01,1.87970789e-02,1.21774878e-01,1.56207179e-02,5.00000000e-04
63,34.682296,9.97028315e-02,7.64563770e-02,7.00334023e-02,7.37772938e-02,1.37986938e-01,1.88744918e-02,1.37767620e-01,1.51107163e-02,5.00000000e-04
64,34.534121,8.99984389e-02,6.88988079e-02,7.69028787e-02,8.08565439e-02,1.47441656e-01,1.88980460e-02,1.79270629e-01,1.52577160e-02,5.00000000e-04
65,34.346344,1.03128828e-01,7.85486319e-02,7.60988175e-02,8.11831038e-02,1.46651110e-01,1.91777915e-02,1.51137259e-01,1.54176612e-02,5.00000000e-04
66,34.155430,8.93278808e-02,6.81183830e-02,8.99050798e-02,9.46281232e-02,1.46568476e-01,1.88576142e-02,1.55385790e-01,1.54425274e-02,5.00000000e-04
67,34.566434,9.06525373e-02,6.95836025e-02,9.24718863e-02,9.76145436e-02,1.40673736e-01,1.91124516e-02,1.34632212e-01,1.51363142e-02,5.00000000e-04
68,34.702948,9.65770643e-02,7.35899575e-02,7.44630633e-02,7.87473322e-02,1.32123190e-01,1.84981087e-02,1.12112061e-01,1.54988136e-02,5.00000000e-04
69,34.572579,9.35915865e-02,7.16443871e-02,8.03923242e-02,8.62736686e-02,1.35131938e-01,1.87304250e-02,1.50621618e-01,1.54708453e-02,5.00000000e-04
70,34.550312,1.07205929e-01,8.23765388e-02,6.16245116e-02,6.51027602e-02,1.40781561e-01,1.91135828e-02,1.22169345e-01,1.54411200e-02,5.00000000e-04
71,34.738323,9.77079003e-02,7.50407882e-02,8.27213248e-02,8.83551516e-02,1.42234367e-01,1.92905985e-02,1.31749526e-01,1.49119240e-02,5.00000000e-04
72,34.613265,1.02499139e-01,7.86020428e-02,7.84261870e-02,8.27139974e-02,1.47668620e-01,1.93292297e-02,1.16316721e-01,1.47719788e-02,5.00000000e-04
73,34.578419,8.72593994e-02,6.64626849e-02,5.98304888e-02,6.35970064e-02,1.28610201e-01,1.84227478e-02,1.05132572e-01,1.47954672e-02,5.00000000e-04
74,34.313657,9.20832442e-02,7.04945087e-02,9.24542998e-02,9.86904339e-02,1.35746878e-01,1.82264510e-02,2.15332522e-01,1.60963377e-02,5.00000000e-04
75,34.314358,9.40022520e-02,7.18373184e-02,9.20317808e-02,9.70404312e-02,1.38110883e-01,1.88749604e-02,1.25279595e-01,1.52020333e-02,5.00000000e-04
76,34.367528,1.06801559e-01,8.17988957e-02,6.34989401e-02,6.77095862e-02,1.44998816e-01,1.90368411e-02,1.22640408e-01,1.52723696e-02,5.00000000e-04
77,34.084858,9.14014412e-02,7.03415083e-02,1.02207776e-01,1.07739432e-01,1.34057355e-01,1.85056286e-02,1.38642938e-01,1.50012216e-02,5.00000000e-04
78,34.069917,1.07141417e-01,8.21921882e-02,1.38204140e-01,1.47367659e-01,1.42639513e-01,1.85505846e-02,1.25936352e-01,1.51386507e-02,5.00000000e-04
79,34.519153,9.08422109e-02,6.95825638e-02,6.38289644e-02,6.73707813e-02,1.38346117e-01,1.88270737e-02,1.35503810e-01,1.52193292e-02,5.00000000e-04
80,34.469103,9.17648187e-02,7.08943629e-02,6.95460698e-02,7.32795160e-02,1.35514939e-01,1.87356331e-02,1.17601992e-01,1.46171575e-02,5.00000000e-04
81,34.322955,8.84742383e-02,6.78037818e-02,7.27104204e-02,7.70922665e-02,1.28799751e-01,1.84088014e-02,1.07067500e-01,1.55893352e-02,5.00000000e-04
82,34.372493,8.79445474e-02,6.73333029e-02,1.49778407e-01,1.57706307e-01,1.28655804e-01,1.82709997e-02,1.27073053e-01,1.46717693e-02,5.00000000e-04
83,34.321924,9.74284267e-02,7.45559680e-02,1.80992446e-01,1.92319497e-01,1.35419552e-01,1.86683684e-02,1.13225849e-01,1.53382032e-02,5.00000000e-04
84,34.253973,1.01685832e-01,7.75458404e-02,1.07814450e-01,1.15752532e-01,1.32487414e-01,1.87274367e-02,1.38749795e-01,1.49048373e-02,5.00000000e-04
85,34.102303,8.81075968e-02,6.73289888e-02,6.19315878e-02,6.47170405e-02,1.36227859e-01,1.81706282e-02,1.23929952e-01,1.53575397e-02,5.00000000e-04
