epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
35,34.300563,1.12311226e-01,8.72656611e-02,8.96366482e-02,9.49155074e-02,1.92283900e-01,1.31740512e-02,1.62606202e-01,1.08804909e-02,1.00000000e-03
36,34.450486,1.21949355e-01,9.50150259e-02,1.29246619e-01,1.38046101e-01,1.90224501e-01,1.31534964e-02,1.78608558e-01,1.07539188e-02,1.00000000e-03
37,34.343890,1.16210910e-01,9.01754663e-02,1.11613586e-01,1.21618292e-01,1.90281365e-01,1.28644751e-02,2.13922469e-01,1.06917134e-02,1.00000000e-03
38,34.885961,1.24294620e-01,9.62876148e-02,1.19605536e-01,1.27811739e-01,1.93948365e-01,1.31484658e-02,1.96085332e-01,1.11371926e-02,1.00000000e-03
39,34.526856,1.13138520e-01,8.77222773e-02,1.38068029e-01,1.46252587e-01,1.91059255e-01,1.29808144e-02,1.78646258e-01,1.06317528e-02,1.00000000e-03
40,34.578946,1.08041851e-01,8.37938910e-02,7.58409714e-02,8.09760073e-02,1.84884672e-01,1.27330758e-02,1.94565567e-01,1.04281777e-02,1.00000000e-03
41,34.369279,1.18957224e-01,9.15584812e-02,1.07065498e-01,1.13367655e-01,1.88513845e-01,1.27825734e-02,1.53936764e-01,1.05728079e-02,1.00000000e-03
42,34.540225,1.05563672e-01,8.16260647e-02,1.88979100e-01,1.98610738e-01,1.84027048e-01,1.26072157e-02,1.84721451e-01,1.09021834e-02,1.00000000e-03
43,34.142278,1.07621123e-01,8.30164686e-02,1.41153859e-01,1.50910768e-01,1.85092078e-01,1.28986430e-02,1.87792414e-01,1.07823777e-02,1.00000000e-03
44,34.509701,1.27397794e-01,9.82645570e-02,2.34357010e-01,2.45768108e-01,1.92029380e-01,1.31210944e-02,2.43269562e-01,1.07667984e-02,1.00000000e-03
45,34.113665,1.14314718e-01,8.75742126e-02,8.50495672e-02,9.13457085e-02,1.91877785e-01,1.28138052e-02,1.62834257e-01,1.02303157e-02,1.00000000e-03
46,34.324423,1.11317595e-01,8.61230872e-02,1.41223369e-01,1.51956787e-01,1.93061275e-01,1.28618758e-02,1.66996640e-01,1.07283158e-02,1.00000000e-03
47,33.759294,1.06348171e-01,8.21571456e-02,8.70178462e-02,9.33592868e-02,1.73564231e-01,1.27233535e-02,1.77779111e-01,1.04440262e-02,1.00000000e-03
48,34.590935,1.11773681e-01,8.58143802e-02,7.45579360e-02,7.85643403e-02,1.79121341e-01,1.26990099e-02,1.60588683e-01,1.03230245e-02,1.00000000e-03
49,34.017137,1.10091844e-01,8.57452866e-02,8.59630111e-02,9.16730882e-02,1.78184012e-01,1.25092224e-02,1.94139325e-01,1.06357797e-02,1.00000000e-03
50,33.846586,1.00690614e-01,7.73007688e-02,1.14668202e-01,1.25172111e-01,1.73181673e-01,1.26159080e-02,2.27561177e-01,1.06484276e-02,1.00000000e-03
51,34.554905,1.05891540e-01,8.14372144e-02,9.47260293e-02,1.00018889e-01,1.79143042e-01,1.26272284e-02,1.88108944e-01,1.05939557e-02,1.00000000e-03
52,34.740849,1.11806016e-01,8.61421780e-02,1.14732739e-01,1.21430753e-01,1.74484937e-01,1.26271239e-02,1.56376243e-01,1.04472591e-02,1.00000000e-03
53,34.462135,1.06359605e-01,8.19175556e-02,9.12503856e-02,9.64726059e-02,1.72364621e-01,1.26056163e-02,1.39723983e-01,1.01423252e-02,1.00000000e-03
54,33.875925,1.07997075e-01,8.36038520e-02,1.12867284e-01,1.19353117e-01,1.66031929e-01,1.24497934e-02,1.34448072e-01,1.01659279e-02,1.00000000e-03
55,34.045636,1.02925528e-01,7.93201733e-02,7.63833230e-02,8.07097737e-02,1.66120856e-01,1.24965008e-02,1.55285535e-01,1.01473421e-02,1.00000000e-03
56,34.822253,1.01895417e-01,7.91312026e-02,6.46316820e-02,7.00149122e-02,1.67433862e-01,1.22089355e-02,1.32182249e-01,1.00910614e-02,1.00000000e-03
57,34.844904,1.16478722e-01,9.02042834e-02,7.43690652e-02,7.93291615e-02,1.71952294e-01,1.27154477e-02,1.63025496e-01,1.05310080e-02,1.00000000e-03
58,34.421082,1.07150916e-01,8.22278203e-02,1.40421940e-01,1.48411603e-01,1.70096063e-01,1.27575653e-02,1.46602262e-01,1.03472626e-02,1.00000000e-03
59,34.430081,9.77287977e-02,7.51751950e-02,8.54436382e-02,9.19098397e-02,1.65820381e-01,1.24130603e-02,1.88280447e-01,1.03425203e-02,1.00000000e-03
60,34.426850,1.13560470e-01,8.77510162e-02,9.64753512e-02,1.00661031e-01,1.71342631e-01,1.26653524e-02,1.37910521e-01,1.01852241e-02,1.00000000e-03
61,34.212423,1.04100315e-01,7.96188800e-02,6.60230615e-02,6.92904511e-02,1.73079867e-01,1.24378859e-02,1.35323606e-01,1.02055289e-02,1.00000000e-03
62,34.469184,9.84823039e-02,7.56778262e-02,6.35415510e-02,6.75487715e-02,1.61830271e-01,1.22346558e-02,1.36641622e-01,1.00788714e-02,1.00000000e-03
63,34.316106,1.04138243e-01,8.03268426e-02,1.14130708e-01,1.22100938e-01,1.62635793e-01,1.23038014e-02,1.79113971e-01,1.04167743e-02,1.00000000e-03
64,34.044617,1.05259864e-01,8.16185879e-02,1.30599028e-01,1.44902917e-01,1.64336003e-01,1.22950119e-02,1.76327343e-01,1.03856821e-02,1.00000000e-03
