epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,9.525289,1.69379930e-01,1.24142364e-01,1.26181640e-01,1.28906260e-01,2.94887332e+00,6.31844286e-01,1.97851872e+00,4.46321840e-01,1.00000000e-03
1,8.856609,1.12040910e-01,8.26744207e-02,1.12443559e-01,1.15341481e-01,1.73163298e+00,2.89190055e-01,1.59201499e+00,2.26425412e-01,1.00000000e-03
2,8.685520,1.01639139e-01,7.50736162e-02,1.05296248e-01,1.07796595e-01,1.45936640e+00,1.77227871e-01,1.33499337e+00,1.76702580e-01,1.00000000e-03
3,8.427486,9.08447718e-02,6.70327848e-02,8.97472052e-02,9.18551508e-02,1.20964876e+00,1.48057222e-01,1.13813608e+00,1.45825916e-01,1.00000000e-03
4,8.394020,8.45176414e-02,6.23501945e-02,8.51354092e-02,8.70095345e-02,9.95373255e-01,1.32009054e-01,9.65539396e-01,1.37198560e-01,1.00000000e-03
5,8.593756,8.01649100e-02,5.90916699e-02,8.46427152e-02,8.64010653e-02,8.85308152e-01,1.22555655e-01,9.84972852e-01,1.22456683e-01,1.00000000e-03
6,8.607518,7.67819437e-02,5.65892669e-02,8.53995306e-02,8.73700446e-02,8.35985056e-01,1.13225890e-01,9.01800420e-01,1.17073168e-01,1.00000000e-03
7,8.478732,7.30623348e-02,5.37985034e-02,7.97985929e-02,8.17007005e-02,7.57765186e-01,1.04848876e-01,8.16489765e-01,1.06725003e-01,1.00000000e-03
8,8.364562,7.04209974e-02,5.18708947e-02,7.21504833e-02,7.36938089e-02,7.14962729e-01,9.63395650e-02,7.79284239e-01,9.69284912e-02,1.00000000e-03
9,8.444130,6.98656728e-02,5.14686702e-02,7.52249934e-02,7.67439383e-02,6.81996479e-01,9.11705515e-02,7.33656266e-01,9.30099781e-02,1.00000000e-03
10,8.501069,6.80849516e-02,5.01447143e-02,7.26979496e-02,7.41910136e-02,6.38650850e-01,8.45419647e-02,7.36984296e-01,8.57928217e-02,1.00000000e-03
11,8.315177,6.72273978e-02,4.95303625e-02,6.81742391e-02,6.95764154e-02,6.17906883e-01,7.97489011e-02,6.72372622e-01,8.25235820e-02,1.00000000e-03
